title,combine_feature
out of time,miami florida double murder denzel washington eva mendes sanaa lathan carl franklin thriller crime drama2 0 0 31 06 . 1
on deadly ground,fight inuit petrol steven seagal michael caine joan chen steven seagal action thriller1 9 9 424 . 5
the adventures of sharkboy and lavagirl,imaginary friend outcast taylor lautner taylor dooley cayden boyd robert rodriguez adventure family science fiction2 0 0 564 . 4
the beach,hippie exotic island beach leonardo dicaprio guillaume canet tilda swinton danny boyle drama adventure romance2 0 0 026 . 3
raising helen,new york pastor world of fasion kate hudson john corbett joan cusack garry marshall drama comedy romance2 0 0 455 . 9
ninja assassin,assassination assassin ninja fighter rain naomie harris sung kang james mcteigue action crime thriller2 0 0 996 . 2
for love of the game,baseball trainer career kevin costner kelly preston john c. reilly sam raimi drama romance1 9 9 996 . 3
striptease,blackmail strip club striptease demi moore burt reynolds armand assante andrew bergman drama thriller crime1 9 9 664 . 4
marmaduke,owen wilson emma stone george lopez tom dey family comedy2 0 1 065 . 0
hereafter,matt damon bryce dallas howard george mclaren clint eastwood drama fantasy2 0 1 01 05 . 8
murder by numbers,detective secret fbi sandra bullock ben chaplin ryan gosling barbet schroeder crime drama thriller2 0 0 246 . 0
assassins,competition assassination cia sylvester stallone antonio banderas julianne moore richard donner action adventure crime1 9 9 51 06 . 0
hannibal rising,winter psychopath horror gaspard ulliel aaran thomas gong li peter webber crime drama thriller2 0 0 726 . 0
the story of us,love of one's life therapist psychology bruce willis michelle pfeiffer rob reiner rob reiner comedy drama romance1 9 9 91 05 . 9
the host,based on novel mass murder dystopia saoirse ronan diane kruger jake abel andrew niccol action adventure romance2 0 1 336 . 0
basic,drug addiction military court panama john travolta connie nielsen samuel l. jackson john mctiernan action drama mystery2 0 0 346 . 2
blood work,houseboat heart investigation clint eastwood jeff daniels anjelica huston clint eastwood crime drama mystery2 0 0 286 . 1
the international,duringcreditsstinger clive owen naomi watts armin mueller-stahl tom tykwer drama thriller crime2 0 0 926 . 0
escape from l.a.,prison usa president earthquake kurt russell stacy keach steve buscemi john carpenter action adventure science fiction1 9 9 685 . 6
the iron giant,cold war friendship giant robot eli marienthal jennifer aniston vin diesel brad bird adventure animation family1 9 9 987 . 6
the life aquatic with steve zissou,ocean film making loss of mother bill murray anjelica huston cate blanchett wes anderson adventure comedy drama2 0 0 41 27 . 1
free state of jones,slavery american civil war matthew mcconaughey gugu mbatha-raw mahershala ali gary ross war action drama2 0 1 666 . 6
the life of david gale,prison journalist texas kevin spacey kate winslet laura linney alan parker drama thriller crime2 0 0 327 . 3
man of the house,tommy lee jones cedric the entertainer christina milian stephen herek comedy action2 0 0 525 . 4
run all night,hitman revenge murder liam neeson ed harris joel kinnaman jaume collet-serra action crime drama2 0 1 536 . 3
eastern promises,london england gay male nudity naomi watts viggo mortensen vincent cassel david cronenberg thriller crime mystery2 0 0 797 . 2
into the blue,diving cocaine shipwreck paul walker jessica alba scott caan john stockwell action thriller adventure2 0 0 595 . 8
the messenger: the story of joan of arc,schizophrenia france rape milla jovovich dustin hoffman faye dunaway luc besson adventure drama action1 9 9 91 06 . 2
your highness,kidnapping traitor virgin danny mcbride james franco natalie portman david gordon green comedy2 0 1 145 . 2
dream house,house fire extension ladder last day on job daniel craig naomi watts rachel weisz jim sheridan drama thriller mystery2 0 1 195 . 8
mad city,journalist museum hostage drama john travolta dustin hoffman mia kirshner costa-gavras action drama thriller1 9 9 71 15 . 9
baby's day out,baby hoodlum lost child joe mantegna lara flynn boyle joe pantoliano patrick read johnson action adventure comedy1 9 9 475 . 8
the scarlet letter,based on novel burning of witches puritan demi moore gary oldman robert duvall roland joffé drama history romance1 9 9 51 05 . 5
fair game,cia nuclear scientist iraq naomi watts sean penn ty burrell doug liman drama thriller2 0 1 056 . 5
domino,bounty hunter fbi weapon keira knightley mickey rourke edgar ramírez tony scott action crime2 0 0 596 . 0
jade,callgirl san francisco investigation david caruso linda fiorentino chazz palminteri william friedkin action thriller mystery1 9 9 51 05 . 2
gamer,dystopia mind control gun battle gerard butler michael c. hall logan lerman brian taylor action thriller science fiction2 0 0 995 . 6
beautiful creatures,civil war southern usa magic alden ehrenreich alice englert jeremy irons richard lagravenese fantasy drama romance2 0 1 325 . 6
death to smoochy,corruption moderator tv show robin williams catherine keener edward norton danny devito comedy crime drama2 0 0 235 . 9
zoolander 2,stupidity sequel fashion ben stiller owen wilson will ferrell ben stiller comedy2 0 1 624 . 7
the big bounce,hotel robbery based on novel owen wilson morgan freeman gary sinise george armitage comedy crime2 0 0 415 . 0
what planet are you from?,noises alien life-form erection garry shandling annette bening john goodman mike nichols comedy drama romance2 0 0 035 . 4
drive angry,bone car explosion premarital sex nicolas cage amber heard william fichtner patrick lussier fantasy thriller action2 0 1 125 . 3
street fighter: the legend of chun-li,martial arts revenge street fighter kristin kreuk chris klein neal mcdonough andrzej bartkowiak action adventure science fiction2 0 0 923 . 9
the one,dual identity jet li jason statham carla gugino james wong action science fiction thriller2 0 0 11 15 . 7
the adventures of ford fairlane,rock and roll show business rock star andrew dice clay wayne newton priscilla presley renny harlin action comedy thriller1 9 9 076 . 2
the boat that rocked,great britain musical rock tom sturridge philip seymour hoffman rhys ifans richard curtis drama comedy2 0 0 947 . 2
traffic,usa war on drugs drug traffic michael douglas benicio del toro jacob vargas steven soderbergh thriller drama crime2 0 0 01 26 . 9
indiana jones and the last crusade,saving the world venice holy grail harrison ford sean connery denholm elliott steven spielberg adventure action1 9 8 957 . 6
anna karenina,based on novel st. petersburg russia high society keira knightley jude law aaron taylor-johnson joe wright drama romance2 0 1 296 . 5
chappie,artificial intelligence android robot sharlto copley dev patel ninja neill blomkamp crime action science fiction2 0 1 536 . 6
the bone collector,paraplegic investigation psychopath denzel washington angelina jolie queen latifah phillip noyce drama mystery thriller1 9 9 91 16 . 5
panic room,burglar bunker housebreaking jodie foster kristen stewart forest whitaker david fincher crime drama thriller2 0 0 236 . 5
the tooth fairy,gore slasher single mother lochlyn munro chandra west steve bacic chuck bowman horror2 0 0 684 . 3
three kings,gold gulf war three kings george clooney mark wahlberg ice cube david o. russell action adventure comedy1 9 9 996 . 6
child 44,based on novel soviet union russian tom hardy gary oldman noomi rapace daniel espinosa crime thriller2 0 1 536 . 1
rat race,casino running preisgeld cuba gooding jr. seth green whoopi goldberg jerry zucker adventure comedy2 0 0 176 . 0
k-pax,robbery dream hypnosis jeff bridges kevin spacey mary mccormack iain softley drama science fiction2 0 0 11 07 . 1
kate & leopold,lover (female) love of one's life time travel meg ryan hugh jackman liev schreiber james mangold comedy fantasy romance2 0 0 11 26 . 0
bedazzled,love of one's life mephisto wish elizabeth hurley brendan fraser frances o'connor harold ramis fantasy comedy romance2 0 0 01 05 . 6
the cotton club,jazz jazz musician musical richard gere gregory hines diane lane francis ford coppola music drama crime1 9 8 41 26 . 6
3:10 to yuma,saloon hero liberation of prisoners russell crowe christian bale logan lerman james mangold western2 0 0 796 . 9
taken 3,revenge murder on the run liam neeson forest whitaker maggie grace olivier megaton thriller action2 0 1 41 26 . 1
out of sight,journalist bedroom purse george clooney jennifer lopez ving rhames steven soderbergh romance comedy crime1 9 9 866 . 5
the cable guy,prison prostitute karaoke jim carrey matthew broderick leslie mann ben stiller comedy drama thriller1 9 9 665 . 7
earth,based on novel war of independence period drama aamir khan nandita das maia sethna deepa mehta drama1 9 9 896 . 6
dick tracy,corruption crime fighter gangster boss warren beatty al pacino madonna warren beatty adventure action comedy1 9 9 065 . 9
the thomas crown affair,martinique claude monet famous painting pierce brosnan rene russo denis leary john mctiernan drama crime romance1 9 9 986 . 6
riding in cars with boys,baby becoming an adult puberty drew barrymore steve zahn adam garcia penny marshall comedy drama romance2 0 0 11 06 . 5
first blood,prison vietnam veteran falsely accused sylvester stallone richard crenna brian dennehy ted kotcheff action adventure thriller1 9 8 21 07 . 2
solaris,1970s loss of sense of reality extraterrestrial technology donatas banionis natalya bondarchuk jüri järvet andrei tarkovsky drama science fiction adventure1 9 7 237 . 7
happily n'ever after,dwarves cinderella wolf george carlin andy dick sarah michelle gellar yvette kaplan animation comedy family2 0 0 694 . 6
mary reilly,servant monster laboratory julia roberts john malkovich george cole stephen frears drama horror thriller1 9 9 625 . 7
my best friend's wedding,karaoke marriage proposal new love julia roberts dermot mulroney cameron diaz p.j. hogan comedy romance1 9 9 766 . 3
america's sweethearts,film business film producer wife husband relationship julia roberts billy crystal catherine zeta-jones joe roth comedy romance2 0 0 175 . 5
insomnia,detective confession fbi al pacino robin williams hilary swank christopher nolan crime mystery thriller2 0 0 256 . 8
star trek: first contact,federation starfleet borg patrick stewart jonathan frakes brent spiner jonathan frakes science fiction action adventure1 9 9 61 17 . 0
jonah hex,gunslinger usa dc comics josh brolin john malkovich megan fox jimmy hayward action western drama2 0 1 064 . 4
courage under fire,gulf war pilot u.s. army denzel washington meg ryan lou diamond phillips edward zwick drama thriller mystery1 9 9 676 . 2
liar liar,california workaholic birthday jim carrey maura tierney cary elwes tom shadyac comedy1 9 9 736 . 4
the infiltrator,undercover biography drug bryan cranston diane kruger john leguizamo brad furman crime drama thriller2 0 1 676 . 6
inchon,laurence olivier jacqueline bisset ben gazzara terence young drama history war1 9 8 156 . 5
the flintstones,manager jealousy bad mother-in-law john goodman elizabeth perkins rick moranis brian levant fantasy comedy family1 9 9 455 . 0
taken 2,kidnapping turkey police chase liam neeson maggie grace famke janssen olivier megaton action crime thriller2 0 1 296 . 1
scary movie 3,horror spoof pamela anderson jenny mccarthy marny eng david zucker comedy2 0 0 31 05 . 8
miss congeniality,undercover agent beauty contest terrorism sandra bullock benjamin bratt michael caine donald petrie comedy crime action2 0 0 01 26 . 1
journey to the center of the earth,volcano prehistoric dinosaur brendan fraser josh hutcherson anita briem eric brevig action science fiction adventure2 0 0 875 . 8
the princess diaries 2: royal engagement,coronation duty marriage anne hathaway julie andrews héctor elizondo garry marshall comedy drama family2 0 0 486 . 0
the pelican brief,judge professor mission of murder julia roberts denzel washington sam shepard alan j. pakula drama mystery thriller1 9 9 31 26 . 3
the client,suicide brother brother relationship witness protection susan sarandon tommy lee jones mary-louise parker joel schumacher drama thriller crime1 9 9 476 . 4
the bucket list,africa himalaya brain tumor jack nicholson morgan freeman sean hayes rob reiner drama comedy2 0 0 71 27 . 0
patriot games,assassination assassin repayment harrison ford anne archer patrick bergin phillip noyce drama action thriller1 9 9 266 . 3
monster-in-law,bad mother-in-law surgeon dogsitter jennifer lopez jane fonda michael vartan robert luketic romance comedy2 0 0 555 . 6
prisoners,pennsylvania kidnapping maze hugh jackman jake gyllenhaal paul dano denis villeneuve drama thriller crime2 0 1 397 . 9
training day,police brutality war on drugs drug traffic denzel washington ethan hawke scott glenn antoine fuqua action crime drama2 0 0 11 07 . 3
galaxy quest,space battle spaceship spoof tim allen sigourney weaver alan rickman dean parisot comedy family science fiction1 9 9 91 26 . 9
scary movie 2,sex exorcism secret door anna faris marlon wayans james debello keenen ivory wayans comedy2 0 0 175 . 4
the muppets,musical the muppets robot amy adams jason segel emily blunt james bobin comedy family music2 0 1 11 16 . 5
blade,suicide hero vampire wesley snipes stephen dorff kris kristofferson stephen norrington horror action1 9 9 886 . 5
coach carter,black people autoritian education sport samuel l. jackson rob brown robert ri'chard thomas carter drama2 0 0 517 . 3
changing lanes,new york custody battle suspense ben affleck samuel l. jackson kim staunton roger michell action adventure crime2 0 0 245 . 9
anaconda,amazon jungle anaconda jennifer lopez ice cube jon voight luis llosa adventure horror thriller1 9 9 744 . 7
coyote ugly,bar musical beautiful woman piper perabo adam garcia john goodman david mcnally comedy2 0 0 075 . 8
love actually,london england male nudity female nudity keira knightley heike makatsch emma thompson richard curtis comedy romance drama2 0 0 397 . 0
a bug's life,winter fight ant kevin spacey julia louis-dreyfus hayden panettiere andrew stanton adventure animation comedy1 9 9 81 16 . 8
from hell,loss of family drug addiction jack the ripper johnny depp heather graham ian holm albert hughes horror mystery thriller2 0 0 11 06 . 6
the specialist,explosive revenge explosives expert sylvester stallone sharon stone james woods luis llosa action thriller1 9 9 41 05 . 5
tin cup,lover (female) golf man-woman relation kevin costner don johnson cheech marin ron shelton comedy drama romance1 9 9 685 . 9
"yours, mine and ours",nurse widow children lucille ball henry fonda van johnson melville shavelson comedy drama family1 9 6 846 . 2
kicking & screaming,father son relationship generations confilct sport will ferrell robert duvall kate walsh jesse dylan romance comedy family2 0 0 555 . 6
the hitchhiker's guide to the galaxy,bureaucracy england dolphin martin freeman zooey deschanel sam rockwell garth jennings adventure comedy family2 0 0 516 . 6
fat albert,kenan thompson shedrack anderson iii jermaine williams joel zwick comedy drama family2 0 0 41 24 . 3
resident evil: extinction,clone mutant post-apocalyptic milla jovovich oded fehr ali larter russell mulcahy horror action science fiction2 0 0 796 . 1
blended,africa blind date relationship drew barrymore adam sandler wendi mclendon-covey frank coraci comedy2 0 1 456 . 6
last holiday,queen latifah ll cool j timothy hutton wayne wang adventure comedy drama2 0 0 616 . 4
the river wild,river robber boston meryl streep david strathairn kevin bacon curtis hanson action adventure crime1 9 9 496 . 1
the indian in the cupboard,cupboard games puppet hal scardino litefoot lindsay crouse frank oz adventure family fantasy1 9 9 575 . 9
savages,widow american abroad eye gouging blake lively taylor kitsch aaron taylor-johnson oliver stone crime drama thriller2 0 1 276 . 2
cellular,bank mobile phone telephone chris evans kim basinger jason statham david r. ellis action adventure crime2 0 0 496 . 1
johnny english,spy hero queen rowan atkinson john malkovich natalie imbruglia peter howitt adventure action comedy2 0 0 346 . 0
the ant bully,ant child hero shrinking julia roberts meryl streep nicolas cage john a. davis fantasy adventure animation2 0 0 675 . 5
dune,prophecy witch monster kyle maclachlan francesca annis leonardo cimino david lynch action science fiction adventure1 9 8 41 26 . 5
across the universe,riot protest musical evan rachel wood jim sturgess joe anderson julie taymor adventure drama music2 0 0 797 . 1
revolutionary road,adultery jealousy infidelity leonardo dicaprio kate winslet michael shannon sam mendes drama romance2 0 0 81 26 . 7
16 blocks,mission of murder male bonding doing the right thing bruce willis yasiin bey david morse richard donner action adventure crime2 0 0 636 . 2
babylon a.d.,submarine baby secret vin diesel michelle yeoh mélanie thierry mathieu kassovitz action adventure science fiction2 0 0 885 . 4
the glimmer man,secret agent past cop steven seagal keenen ivory wayans bob gunton john gray action adventure crime1 9 9 61 04 . 7
multiplicity,clone mistake in person cloning michael keaton andie macdowell harris yulin harold ramis comedy fantasy science fiction1 9 9 675 . 5
aliens in the attic,alien comedy duringcreditsstinger carter jenkins austin butler kevin nealon john schultz adventure comedy family2 0 0 975 . 3
the pledge,promise murder drawing jack nicholson aaron eckhart helen mirren sean penn crime drama mystery2 0 0 116 . 5
the producers,cheating adolf hitler success matthew broderick uma thurman will ferrell susan stroman comedy music2 0 0 51 26 . 1
the phantom,secret identity gold gangster boss billy zane kristy swanson treat williams simon wincer adventure action1 9 9 664 . 7
all the pretty horses,dancing chess prisoner matt damon henry thomas penélope cruz billy bob thornton drama romance western2 0 0 01 25 . 8
nixon,usa president presidential election watergate scandal anthony hopkins joan allen powers boothe oliver stone history drama1 9 9 51 27 . 1
the ghost writer,london england cia war crimes ewan mcgregor pierce brosnan jon bernthal roman polanski thriller mystery2 0 1 026 . 7
deep rising,ocean liner sea monster jewel heist treat williams famke janssen anthony heald stephen sommers adventure action horror1 9 9 816 . 0
miracle at st. anna,black people world war ii toscana derek luke michael ealy laz alonso spike lee drama war2 0 0 896 . 3
curse of the golden flower,poison china martial arts chow yun-fat gong li jay chou zhang yimou action drama fantasy2 0 0 61 26 . 6
bangkok dangerous,assassin asia gun nicolas cage shahkrit yamnarm charlie yeung danny pang action crime thriller2 0 0 885 . 0
big trouble,gadfly tim allen rene russo patrick warburton barry sonnenfeld action comedy thriller2 0 0 246 . 3
love in the time of cholera,sex marriage proposal new love javier bardem unax ugalde benjamin bratt mike newell drama romance2 0 0 71 06 . 4
shadow conspiracy,charlie sheen donald sutherland linda hamilton george p. cosmatos action thriller1 9 9 714 . 0
johnny english reborn,buddhist monk cooking prime minister rowan atkinson dominic west gillian anderson oliver parker crime adventure action2 0 1 196 . 0
foodfight!,supermarket fight product placement charlie sheen wayne brady hilary duff lawrence kasanoff animation action comedy2 0 1 262 . 3
argo,cia wife husband relationship document ben affleck bryan cranston alan arkin ben affleck drama thriller2 0 1 21 07 . 1
the fugitive,chicago showdown undercover harrison ford tommy lee jones sela ward andrew davis adventure action thriller1 9 9 387 . 2
the bounty hunter,bounty hunter ex-husband ex-wife relationship gerard butler jennifer aniston gio perez andy tennant action2 0 1 035 . 5
sleepers,child abuse sadistic sexual abuse robert de niro brad pitt kevin bacon barry levinson crime drama thriller1 9 9 61 07 . 3
rambo: first blood part ii,usa vietnam veteran submachine gun sylvester stallone richard crenna charles napier george p. cosmatos action adventure thriller1 9 8 556 . 3
the juror,jurors blackmail court case demi moore alec baldwin joseph gordon-levitt brian gibson drama thriller1 9 9 625 . 5
pinocchio,italy lie magic mel blanc don brodie walter catlett ben sharpsteen animation family1 9 4 026 . 9
heaven's gate,montana showdown brothel kris kristofferson christopher walken john hurt michael cimino action drama history1 9 8 01 16 . 4
underworld: evolution,budapest key vampire kate beckinsale scott speedman tony curran len wiseman fantasy action science fiction2 0 0 616 . 4
victor frankenstein,london england human experimentation frankenstein james mcavoy daniel radcliffe jessica brown findlay paul mcguigan drama science fiction thriller2 0 1 51 15 . 6
finding forrester,upper class brother brother relationship scotland sean connery rob brown f. murray abraham gus van sant drama2 0 0 01 27 . 0
28 days,alcoholism urteil car crash sandra bullock viggo mortensen dominic west betty thomas comedy drama2 0 0 046 . 0
unleashed,martial arts hitman serial killer jet li morgan freeman bob hoskins louis leterrier action crime2 0 0 526 . 6
the sweetest thing,roommate marriage aftercreditsstinger cameron diaz christina applegate thomas jane roger kumble romance comedy2 0 0 245 . 3
the firm,fbi law tennessee tom cruise jeanne tripplehorn gene hackman sydney pollack drama mystery thriller1 9 9 366 . 6
charlie st. cloud,brother brother relationship based on novel sailing zac efron amanda crew charlie tahan burr steers drama2 0 1 056 . 8
the mechanic,poison chicago prostitute jason statham ben foster donald sutherland simon west action thriller crime2 0 1 116 . 3
21 jump street,male friendship high school parody channing tatum jonah hill brie larson phil lord action comedy crime2 0 1 236 . 7
notting hill,london england bookshop birthday julia roberts hugh grant gina mckee roger michell romance comedy drama1 9 9 957 . 0
chicken run,chicken freedom escape mel gibson miranda richardson timothy spall nick park animation comedy family2 0 0 066 . 5
along came polly,beach honeymoon bride ben stiller jennifer aniston philip seymour hoffman john hamburg comedy romance2 0 0 415 . 8
boomerang,role of women ladykiller success eddie murphy robin givens halle berry reginald hudlin comedy romance1 9 9 265 . 4
the heat,boston fbi buddy comedy sandra bullock melissa mccarthy demián bichir paul feig action comedy crime2 0 1 366 . 5
cleopatra,ancient rome historical figure cleopatra elizabeth taylor richard burton rex harrison joseph l. mankiewicz drama history romance1 9 6 366 . 7
here comes the boom,high school teacher prize money physics teacher salma hayek kevin james henry winkler frank coraci comedy2 0 1 21 06 . 0
high crimes,based on novel witness village ashley judd morgan freeman jim caviezel carl franklin drama mystery thriller2 0 0 246 . 1
the mirror has two faces,sex professor wedding barbra streisand jeff bridges lauren bacall barbra streisand comedy drama romance1 9 9 61 16 . 5
the mothman prophecies,based on novel small town dream richard gere laura linney will patton mark pellington drama horror mystery2 0 0 216 . 1
brüno,gay fame mockumentary sacha baron cohen richard bey ron paul larry charles comedy2 0 0 975 . 4
licence to kill,corruption florida secret identity timothy dalton carey lowell robert davi john glen adventure action thriller1 9 8 975 . 9
red riding hood,winter fantasy fairy tale amanda seyfried gary oldman billy burke catherine hardwicke fantasy thriller horror2 0 1 135 . 6
15 minutes,new york female nudity prison robert de niro charlize theron edward burns john herzfeld action crime thriller2 0 0 135 . 7
super mario bros.,saving the world brother brother relationship royalty bob hoskins john leguizamo dennis hopper annabel jankel adventure comedy family1 9 9 354 . 0
lord of war,cold war weapon arms dealer nicolas cage bridget moynahan jared leto andrew niccol crime drama thriller2 0 0 597 . 0
hero,countryside loss of lover right and justice jet li tony leung chiu-wai maggie cheung zhang yimou drama adventure action2 0 0 21 27 . 2
one for the money,bounty hunter based on novel romance katherine heigl jason o'mara daniel sunjata julie anne robinson action comedy crime2 0 1 215 . 3
the interview,cia coup d'etat north korea james franco seth rogen lizzy caplan seth rogen action comedy2 0 1 41 26 . 1
the warrior's way,assassin small town forest kate bosworth jang dong-gun geoffrey rush sngmoo lee adventure fantasy action2 0 1 01 26 . 3
micmacs,unemployment contortionist human cannonball dany boon dominique pinon andré dussollier jean-pierre jeunet action comedy crime2 0 0 91 06 . 8
8 mile,individual street gang adolescence eminem mekhi phifer brittany murphy curtis hanson drama2 0 0 21 16 . 8
why i did (not) eat my father,animation evolution humanity jamel debbouze arié elmaleh mélissa theuriau jamel debbouze adventure comedy animation2 0 1 545 . 3
a knight's tale,poetry knight tournament heath ledger rufus sewell shannyn sossamon brian helgeland adventure drama romance2 0 0 156 . 6
the medallion,detective medallion leather jacket jackie chan lee evans claire forlani gordon chan thriller fantasy action2 0 0 385 . 3
the sixth sense,child abuse sense of guilt loss of child bruce willis toni collette olivia williams m. night shyamalan mystery thriller drama1 9 9 987 . 7
man on a ledge,deception new york city rooftop sam worthington elizabeth banks jamie bell asger leth action thriller crime2 0 1 216 . 2
the big year,helicopter based on novel honeymoon owen wilson steve martin jack black david frankel comedy2 0 1 11 05 . 6
the karate kid,flat taskmaster karate ralph macchio pat morita william zabka john g. avildsen drama1 9 8 466 . 9
american hustle,con artist scam mobster christian bale bradley cooper amy adams david o. russell drama crime2 0 1 31 26 . 8
the proposal,fictitious marriage deportation immigration law sandra bullock ryan reynolds mary steenburgen anne fletcher comedy romance drama2 0 0 966 . 7
double jeopardy,prison sailboat sailing trip tommy lee jones ashley judd bruce greenwood bruce beresford crime drama mystery1 9 9 996 . 2
back to the future part ii,skateboarding flying car car race michael j. fox christopher lloyd lea thompson robert zemeckis adventure comedy family1 9 8 91 17 . 4
lucy,artificial intelligence telepathy intelligence scarlett johansson morgan freeman choi min-sik luc besson action science fiction2 0 1 476 . 3
fifty shades of grey,based on novel perversion spanking dakota johnson jamie dornan jennifer ehle sam taylor-johnson drama romance thriller2 0 1 525 . 2
spy kids 3-d: game over,video game intelligence liberation antonio banderas carla gugino alexa penavega robert rodriguez action adventure comedy2 0 0 374 . 7
a time to kill,ku klux klan rape mississippi matthew mcconaughey sandra bullock samuel l. jackson joel schumacher crime drama thriller1 9 9 677 . 0
cheaper by the dozen,big family new job aspiring actor steve martin bonnie hunt piper perabo shawn levy comedy2 0 0 31 26 . 0
lone survivor,war survival navy seal mark wahlberg taylor kitsch emile hirsch peter berg action drama thriller2 0 1 31 27 . 4
a league of their own,baseball world war ii sport tom hanks geena davis madonna penny marshall comedy1 9 9 276 . 7
the conjuring 2,london england england 1970s patrick wilson vera farmiga madison wolfe james wan horror2 0 1 657 . 0
the social network,hacker hacking creator jesse eisenberg andrew garfield justin timberlake david fincher drama2 0 1 097 . 1
he's just not that into you,relationship ensemble cast duringcreditsstinger ben affleck jennifer aniston drew barrymore ken kwapis comedy romance drama2 0 0 926 . 2
scary movie 4,haunted house alien life-form riesen-ipod anna faris regina hall craig bierko david zucker comedy2 0 0 645 . 3
scream 3,mask metal detector film director david arquette neve campbell courteney cox wes craven horror mystery2 0 0 025 . 7
back to the future part iii,railroad robber california delorean michael j. fox christopher lloyd mary steenburgen robert zemeckis adventure comedy family1 9 9 057 . 1
get hard,prison training framed will ferrell kevin hart alison brie etan cohen comedy2 0 1 535 . 9
dracula,adultery maze vampire gary oldman winona ryder anthony hopkins francis ford coppola romance horror1 9 9 21 17 . 1
julie & julia,cooking book cookbook meryl streep amy adams stanley tucci nora ephron romance drama2 0 0 986 . 6
42,baseball biography sport chadwick boseman t.r. knight harrison ford brian helgeland drama2 0 1 346 . 8
the talented mr. ripley,venice italy gay matt damon gwyneth paltrow jude law anthony minghella thriller crime drama1 9 9 91 27 . 0
dumb and dumber to,friendship sequel road movie jim carrey jeff daniels rachel melvin bobby farrelly comedy2 0 1 41 15 . 4
eight below,expedition pilot survival paul walker bruce greenwood moon bloodgood frank marshall adventure drama family2 0 0 626 . 7
the intern,intern woman director robert de niro anne hathaway rene russo nancy meyers comedy2 0 1 597 . 1
ride along 2,police sequel police officer kevin hart ice cube olivia munn tim story action comedy2 0 1 616 . 1
the last of the mohicans,secret love mohawk native american daniel day-lewis madeleine stowe russell means michael mann action adventure drama1 9 9 297 . 1
ray,black people soul country music jamie foxx kerry washington regina king taylor hackford drama music2 0 0 41 07 . 2
sin city,dystopia based on comic book held captive jessica alba devon aoki clive owen robert rodriguez action thriller crime2 0 0 547 . 2
vantage point,bomb terror spain dennis quaid matthew fox forest whitaker pete travis drama action thriller2 0 0 826 . 2
"i love you, man",poker bondage duringcreditsstinger paul rudd jason segel rashida jones john hamburg comedy2 0 0 936 . 5
shallow hal,overweight beauty hypnosis gwyneth paltrow jack black jason alexander bobby farrelly comedy romance2 0 0 11 15 . 7
jfk,assassination cia homophobia kevin costner tommy lee jones gary oldman oliver stone drama thriller history1 9 9 11 27 . 5
big momma's house 2,undercover nanny computer virus martin lawrence nia long emily procter john whitesell comedy crime2 0 0 615 . 4
the mexican,kidnapping pistol brad pitt julia roberts james gandolfini gore verbinski action comedy crime2 0 0 135 . 8
17 again,high school bullying high school sports zac efron leslie mann matthew perry burr steers comedy2 0 0 936 . 1
the other woman,infidelity revenge unfaithful boyfriend cameron diaz leslie mann kate upton nick cassavetes comedy romance2 0 1 446 . 2
the final destination,car race dying and death plan bobby campo shantel vansanten nick zano david r. ellis horror mystery2 0 0 985 . 4
bridge of spies,spy cia cold war tom hanks mark rylance amy ryan steven spielberg thriller drama2 0 1 51 07 . 2
behind enemy lines,helicopter war crimes sniper owen wilson gene hackman gabriel macht john moore action drama thriller2 0 0 11 16 . 0
get him to the greek,aftercreditsstinger jonah hill russell brand rose byrne nicholas stoller comedy2 0 1 065 . 9
shall we dance?,jealousy wife husband relationship dancing master richard gere jennifer lopez susan sarandon peter chelsom drama romance comedy2 0 0 41 05 . 9
small soldiers,defense industry toy shop technical toy gregory smith kirsten dunst denis leary joe dante comedy adventure fantasy1 9 9 876 . 2
spawn,anti hero secret agent fistfight michael jai white martin sheen john leguizamo mark a.z. dippé action adventure fantasy1 9 9 775 . 0
the count of monte cristo,loss of lover lover (female) ex-lover jim caviezel guy pearce richard harris kevin reynolds action adventure drama2 0 0 217 . 3
the lincoln lawyer,judge arrest jury matthew mcconaughey marisa tomei ryan phillippe brad furman crime drama thriller2 0 1 137 . 0
unknown,taxi hotel coma liam neeson diane kruger january jones jaume collet-serra action mystery thriller2 0 1 126 . 5
the prestige,competition secret obsession hugh jackman christian bale michael caine christopher nolan drama mystery thriller2 0 0 61 08 . 0
horrible bosses 2,prison kidnapping sequel jason bateman jason sudeikis charlie day sean anders comedy2 0 1 41 16 . 1
escape from planet earth,spaceship alien rescue brendan fraser rob corddry ricky gervais callan brunker animation comedy adventure2 0 1 325 . 7
apocalypto,loss of family solar eclipse slavery rudy youngblood raoul max trujillo gerardo taracena mel gibson action adventure drama2 0 0 61 27 . 3
the living daylights,london england smuggling of arms prison timothy dalton maryam d'abo jeroen krabbé john glen action adventure thriller1 9 8 766 . 2
predators,hunter predator yakuza topher grace alice braga laurence fishburne nimród antal action science fiction adventure2 0 1 076 . 0
legal eagles,court case client lawyer robert redford debra winger daryl hannah ivan reitman comedy crime drama1 9 8 665 . 8
secret window,alcohol adultery detective johnny depp john turturro timothy hutton david koepp thriller mystery2 0 0 436 . 4
the lake house,chicago writing architect keanu reeves sandra bullock shohreh aghdashloo alejandro agresti romance drama mystery2 0 0 666 . 5
the skeleton key,nurse secret dream kate hudson gena rowlands peter sarsgaard iain softley drama horror mystery2 0 0 576 . 4
